fecha,ID,mes,muestreador,toponimia,localidad,sitio,transecto,distancia_localidad_km,distance,day,num_mes,month,orientation,density,X,Y
2014-08-16,Atamaría Norte 6,Agosto,Vicky,Atamaría Norte,Atamaría,1,6,10.1,10.1,16,2,August,E,0,-0.7883579566849196,37.589030106994365
2014-08-16,Atamaría Sur 1,Agosto,Kilian,Atamaría Sur,Atamaría,2,1,10.1,10.1,16,2,August,E,0,-0.7934768974786468,37.58673920121141
2014-08-16,Atamaría Sur 2,Agosto,Kilian,Atamaría Sur,Atamaría,2,2,10.1,10.1,16,2,August,E,0,-0.7945848528787823,37.586754779340524
2014-08-16,Atamaría Sur 3,Agosto,Kilian,Atamaría Sur,Atamaría,2,3,10.1,10.1,16,2,August,E,0,-0.795919524776215,37.586684271726725
2014-08-16,Atamaría Sur 4,Agosto,Kilian,Atamaría Sur,Atamaría,2,4,10.1,10.1,16,2,August,E,0,-0.797110757539625,37.58597573146668
2014-08-16,Atamaría Sur 5,Agosto,Kilian,Atamaría Sur,Atamaría,2,5,10.1,10.1,16,2,August,E,0,-0.7981944824169127,37.585553616387635
2014-08-16,Atamaría Sur 6,Agosto,Kilian,Atamaría Sur,Atamaría,2,6,10.1,10.1,16,2,August,E,0,-0.799532449330165,37.58552500899153
2014-08-16,Cabo Palos Norte 1,Agosto,Vicky,Cabo Palos Norte,Cabo Palos,1,1,23.7,23.7,16,2,August,E,0,-0.6931199104164123,37.6306649962902
2014-08-16,Cabo Palos Norte 2,Agosto,Vicky,Cabo Palos Norte,Cabo Palos,1,2,23.7,23.7,16,2,August,E,0,-0.692394959469171,37.63076026336756
2014-08-16,Cabo Palos Norte 3,Agosto,Vicky,Cabo Palos Norte,Cabo Palos,1,3,23.7,23.7,16,2,August,E,0,-0.6919004515414057,37.631499339710366
2014-08-16,Cabo Palos Norte 4,Agosto,Vicky,Cabo Palos Norte,Cabo Palos,1,4,23.7,23.7,16,2,August,E,0,-0.6913460606894714,37.63192756369512
2014-08-16,Cabo Palos Norte 5,Agosto,Vicky,Cabo Palos Norte,Cabo Palos,1,5,23.7,23.7,16,2,August,E,0,-0.6907581671405953,37.63218254172039
2014-08-16,Cabo Palos Norte 6,Agosto,Vicky,Cabo Palos Norte,Cabo Palos,1,6,23.7,23.7,16,2,August,E,0,-0.6897849532245113,37.63219358655926
2014-08-16,Cabo Palos Sur 1,Agosto,Kilian,Cabo Palos Sur,Cabo Palos,2,1,23.7,23.7,16,2,August,E,0,-0.6947691752764357,37.63010585331086
2014-08-16,Cabo Palos Sur 2,Agosto,Kilian,Cabo Palos Sur,Cabo Palos,2,2,23.7,23.7,16,2,August,E,0,-0.6954434127964544,37.629861454417004
2014-08-16,Cabo Palos Sur 3,Agosto,Kilian,Cabo Palos Sur,Cabo Palos,2,3,23.7,23.7,16,2,August,E,0,-0.6963100532947496,37.63015856689802
2014-08-16,Cabo Palos Sur 4,Agosto,Kilian,Cabo Palos Sur,Cabo Palos,2,4,23.7,23.7,16,2,August,E,0,-0.6973152520998414,37.6305050287697
