fecha,mes,muestreador,toponimia,localidad,sitio,transecto,distancia_localidad_km,distance,day,num_mes,month,orientation,density,size,number
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,5,0.7,0.7,14,1,July,E,0,20,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,5,0.7,0.7,14,1,July,E,0,22,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,5,0.7,0.7,14,1,July,E,0,24,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,5,0.7,0.7,14,1,July,E,0,25,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,5,0.7,0.7,14,1,July,E,0,26,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,5,0.7,0.7,14,1,July,E,0,27,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,5,0.7,0.7,14,1,July,E,0,28,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,5,0.7,0.7,14,1,July,E,0,30,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,5,0.7,0.7,14,1,July,E,0,32,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,5,0.7,0.7,14,1,July,E,0,33,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,5,0.7,0.7,14,1,July,E,0,34,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,5,0.7,0.7,14,1,July,E,0,35,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,5,0.7,0.7,14,1,July,E,0,36,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,5,0.7,0.7,14,1,July,E,0,37,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,5,0.7,0.7,14,1,July,E,0,38,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,5,0.7,0.7,14,1,July,E,0,40,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,5,0.7,0.7,14,1,July,E,0,42,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,5,0.7,0.7,14,1,July,E,0,43,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,5,0.7,0.7,14,1,July,E,0,44,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,5,0.7,0.7,14,1,July,E,0,45,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,5,0.7,0.7,14,1,July,E,0,46,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,5,0.7,0.7,14,1,July,E,0,48,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,5,0.7,0.7,14,1,July,E,0,50,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,5,0.7,0.7,14,1,July,E,0,52,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,5,0.7,0.7,14,1,July,E,0,54,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,5,0.7,0.7,14,1,July,E,0,55,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,5,0.7,0.7,14,1,July,E,0,56,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,5,0.7,0.7,14,1,July,E,0,60,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,5,0.7,0.7,14,1,July,E,0,65,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,6,0.7,0.7,14,1,July,E,60,10,300
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,6,0.7,0.7,14,1,July,E,60,11,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,6,0.7,0.7,14,1,July,E,60,12,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,6,0.7,0.7,14,1,July,E,60,13,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,6,0.7,0.7,14,1,July,E,60,14,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,6,0.7,0.7,14,1,July,E,60,15,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,6,0.7,0.7,14,1,July,E,60,16,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,6,0.7,0.7,14,1,July,E,60,17,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,6,0.7,0.7,14,1,July,E,60,18,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,6,0.7,0.7,14,1,July,E,60,19,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,6,0.7,0.7,14,1,July,E,60,20,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,6,0.7,0.7,14,1,July,E,60,22,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,6,0.7,0.7,14,1,July,E,60,24,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,6,0.7,0.7,14,1,July,E,60,25,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,6,0.7,0.7,14,1,July,E,60,26,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,6,0.7,0.7,14,1,July,E,60,27,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,6,0.7,0.7,14,1,July,E,60,28,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,6,0.7,0.7,14,1,July,E,60,30,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,6,0.7,0.7,14,1,July,E,60,32,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,6,0.7,0.7,14,1,July,E,60,33,0
